106 179
293 244
253 211
132 178
225 102
86 240
249 294
140 213
265 257
69 222
165 124
132 240
199 146
75 180
217 113
64 193
276 261
210 147
89 238
296 263
260 269
181 135
135 219
246 57
215 131
280 220
66 244
91 164
139 181
277 295
64 229
276 235
298 288
256 299
245 94
212 138
186 106
78 205
94 195
51 165
210 245
273 256
223 148
225 52
127 151
208 94
241 136
179 54
236 101
236 291
81 228
104 216
230 295
178 146
201 261
174 117
198 83
222 254
80 181
89 160
208 206
74 194
240 88
108 174
67 245
248 215
266 296
260 234
217 52
296 280
231 261
245 111
199 67
195 122
189 143
294 238
113 152
256 229
166 110
115 172
94 243
295 216
238 70
146 247
217 282
235 278
66 160
204 253
68 175
120 171
289 297
178 56
231 128
203 244
215 253
245 149
203 293
101 168
230 137
183 132
