# x y z
	1.2700	1.9200	1.0000
	1.4900	2.9000	1.0000
	-0.4830	2.1800	1.0000
	-0.0203	2.2900	1.0000
	0.5530	2.1100	1.0000
	1.1100	2.4400	1.0000
	2.1300	2.1000	1.0000
	0.7100	4.7900	1.0000
	2.2600	0.8330	1.0000
	1.4800	0.1460	1.0000
	2.1700	0.8590	1.0000
	1.1300	0.9070	1.0000
	0.3430	1.5700	1.0000
	-0.4810	1.8300	1.0000
	1.1600	1.7800	1.0000
	1.8200	2.5400	1.0000
	0.7070	2.3900	1.0000
	0.4590	2.7500	1.0000
	0.6910	3.7800	1.0000
	-0.0966	3.2200	1.0000
	0.5070	0.7170	1.0000
	0.8190	-0.3290	1.0000
	1.0500	2.9000	1.0000
	0.9360	0.1640	1.0000
	1.6100	2.0700	1.0000
	1.1100	2.0400	1.0000
	2.8100	4.2300	1.0000
	1.3100	1.9300	1.0000
	2.8000	1.4900	1.0000
	0.2770	2.2400	1.0000
	1.5300	2.2500	1.0000
	0.7400	2.0700	1.0000
	1.6000	1.3900	1.0000
	1.5900	0.7770	1.0000
	-1.1900	2.3200	1.0000
	-0.3270	0.6570	1.0000
	-0.4410	0.9680	1.0000
	1.4000	3.3300	1.0000
	2.4700	1.5800	1.0000
	0.6730	1.8600	1.0000
	1.8100	2.9000	1.0000
	1.5500	1.7000	1.0000
	-0.0516	3.0300	1.0000
	1.4000	1.6500	1.0000
	0.2480	3.0100	1.0000
	2.5200	2.6300	1.0000
	0.9670	1.7900	1.0000
	2.6400	1.1300	1.0000
	0.5750	0.9570	1.0000
	1.5900	1.7300	1.0000
	0.9370	1.5600	1.0000
	-1.0200	1.5900	1.0000
	0.0179	2.9800	1.0000
	1.6100	1.7000	1.0000
	0.9450	3.1400	1.0000
	-0.1190	1.4700	1.0000
	0.3740	2.9700	1.0000
	1.2500	1.4800	1.0000
	0.0070	2.1800	1.0000
	1.9700	2.9700	1.0000
	0.3590	1.5900	1.0000
	2.8100	1.5600	1.0000
	-0.0799	4.0000	1.0000
	1.2000	2.9500	1.0000
	-0.5210	1.5700	1.0000
